ticker,name,sector,cik,fye_month,watch_added,list_date,exit_date,status,fin_first,fin_last,fin_quarters,px_first,px_last,px_obs,px_source,periodic_filer,note
GOOGL,Alphabet Inc (Class A),soft,0001652044,12,2026-09-03,,,active,2024-03-31,2026-06-30,10,2026-06-24,2026-09-02,50,long,yes,
HOOD,Robinhood Markets,fin,0001783879,12,2026-08-26,,,active,2024-06-30,2026-06-30,9,2026-06-18,2026-08-27,49,50d,yes,
INSM,Insmed Incorporated,heal,0001104506,12,2026-09-03,,,active,2024-03-31,2026-06-30,10,2026-06-22,2026-08-31,50,long,yes,
IONQ,IonQ,infra,0001824920,12,2026-08-26,,,active,2023-03-31,2026-06-30,13,2026-06-18,2026-08-27,49,50d,yes,
JNJ,Johnson & Johnson,heal,0000200406,12,2026-08-28,,,active,2024-06-30,2026-06-28,9,2026-06-18,2026-08-27,49,50d,yes,
LEU,Centrus Energy,power,0001065059,12,2026-08-28,,,active,2023-03-31,2026-06-30,13,2026-06-17,2026-08-27,50,50d,yes,
LHX,L3Harris Technologies,aero,0000202058,12,2026-09-01,,,active,2022-09-30,2026-06-30,16,2026-04-09,2026-08-31,100,long,yes,
LLY,Eli Lilly and Co,heal,0000059478,12,2026-09-01,,,active,2022-09-30,2026-06-30,16,2026-06-22,2026-08-31,50,long,yes,
MDT,Medtronic plc,heal,0001613103,4,2026-08-29,,,active,2022-10-28,2026-01-23,14,2022-09-02,2026-08-28,1000,long,yes,
MRK,Merck & Co.,heal,0000310158,12,2026-08-26,,,active,2024-03-31,2026-06-30,10,2026-06-18,2026-08-27,49,50d,yes,
MRVL,Marvell Technology,semi,0001835632,1,2026-08-28,,,active,2024-05-04,2026-05-02,9,2022-09-02,2026-08-28,1000,long,yes,
MUFG,미쓰비시UFJ FG,fin,0000067088,3,2026-08-26,,,active,2025-06-30,2026-06-30,2,2026-06-17,2026-08-27,50,50d,no,외국민간발행인 — 20-F/6-K만 제출
NEE,NextEra Energy,power,0000753308,12,2026-08-28,,,active,2024-03-31,2026-06-30,10,2026-06-18,2026-08-27,49,50d,yes,
NRIX,Nurix Therapeutics,heal,0001549595,11,2026-09-02,,,active,2024-02-29,2026-05-31,10,2026-06-23,2026-09-01,50,50d,yes,
NTRA,Natera,heal,0001604821,12,2026-08-27,,,active,2023-03-31,2026-06-30,13,2026-06-16,2026-08-26,50,50d,yes,
NVTS,Navitas Semiconductor,semi,0001821769,12,2026-08-27,,,active,2021-12-31,2026-06-30,19,2026-06-17,2026-08-27,50,50d,yes,
OII,Oceaneering International,power,0000073756,12,2026-09-03,,,active,2023-03-31,2026-06-30,14,,,0,,yes,
OKLO,Oklo Inc,power,0001849056,12,2026-09-01,,,active,2024-09-30,2026-06-30,8,2026-04-09,2026-08-31,100,long,yes,
ON,onsemi,semi,0001097864,12,2026-08-26,,,active,2023-03-31,2026-07-03,15,2026-06-18,2026-08-27,49,50d,yes,
PANW,Palo Alto Networks,soft,0001327567,7,2026-08-28,,,active,2024-01-31,2026-04-30,10,2026-06-18,2026-08-27,49,50d,yes,
PLUG,Plug Power,power,0001093691,12,2026-08-26,,,active,2023-03-31,2026-06-30,13,2026-06-17,2026-08-27,50,50d,yes,
PSNL,Personalis Inc,heal,0001527753,12,2026-09-02,,,active,2024-09-30,2026-06-30,8,2026-06-23,2026-09-01,50,50d,yes,
PTC,PTC Inc.,soft,0000857005,9,2026-08-29,,,active,2022-12-31,2026-03-31,14,2022-09-02,2026-08-28,1000,long,yes,
QCOM,QUALCOMM,semi,0000804328,9,2026-08-29,,,active,2022-09-25,2026-06-28,16,2022-09-02,2026-08-28,1000,long,yes,
QS,QuantumScape,power,0001811414,12,2026-08-26,,,active,2023-03-31,2026-06-30,14,2026-06-16,2026-08-25,49,50d,yes,
RMBS,Rambus,semi,0000917273,12,2026-08-27,,,active,2022-12-31,2026-06-30,16,2026-06-18,2026-08-27,49,50d,yes,
RVMD,Revolution Medicines,heal,0001628171,12,2026-09-03,,,active,2024-03-31,2026-06-30,10,2026-06-24,2026-09-02,50,long,yes,
SPCX,Space Exploration Technologies,infra,0001181412,12,2026-08-26,2026-06-12,,active,2025-06-30,2026-06-30,3,2026-06-18,2026-08-27,49,50d,yes,"IPO — 첫 10-Q 기간 2026-06-30, 접수 2026-08-04"
TSLA,Tesla Inc,power,0001318605,12,2026-09-03,,,active,2024-03-31,2026-06-30,10,2026-06-24,2026-09-02,50,long,yes,
TWST,Twist Bioscience,heal,0001581280,9,2026-09-01,,,active,2022-09-30,2026-06-30,16,2026-04-09,2026-08-31,100,long,yes,
VRT,Vertiv Holdings,infra,0001674101,12,2026-08-26,,,active,2024-03-31,2026-06-30,10,2026-06-18,2026-08-27,49,50d,yes,
